################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# time	Vol_of_tot	Vol_inf_tot	Vol_rain_tot	Vol_bound_tot
0.1	        0	9.28231e-06	9.28231e-06	        0
0.2	        0	1.85646e-05	1.85646e-05	        0
0.3	        0	2.78469e-05	2.78469e-05	        0
0.4	        0	3.71292e-05	3.71292e-05	        0
0.5	        0	4.64115e-05	4.64115e-05	        0
0.6	        0	5.56938e-05	5.56938e-05	        0
0.7	        0	6.49762e-05	6.49762e-05	        0
0.8	        0	7.42585e-05	7.42585e-05	        0
0.9	        0	8.35408e-05	8.35408e-05	        0
1	        0	9.28231e-05	9.28231e-05	        0
1.1	        0	0.000102105	0.000102105	        0
1.2	        0	0.000111388	0.000111388	        0
1.3	        0	0.00012067	0.00012067	        0
1.4	        0	0.000129952	0.000129952	        0
1.5	        0	0.000139235	0.000139235	        0
1.6	        0	0.000148517	0.000148517	        0
1.7	        0	0.000157799	0.000157799	        0
1.8	        0	0.000167082	0.000167082	        0
1.9	        0	0.000176364	0.000176364	        0
2	        0	0.000185646	0.000185646	        0
2.1	        0	0.000194928	0.000194928	        0
2.2	        0	0.000204211	0.000204211	        0
2.3	        0	0.000213493	0.000213493	        0
2.4	        0	0.000222775	0.000222775	        0
2.5	        0	0.000232058	0.000232058	        0
2.6	        0	0.00024134	0.00024134	        0
2.7	        0	0.000250622	0.000250622	        0
2.8	        0	0.000259905	0.000259905	        0
2.9	        0	0.000269187	0.000269187	        0
3	        0	0.000278469	0.000278469	        0
3.1	        0	0.000287752	0.000287752	        0
3.2	        0	0.000297034	0.000297034	        0
3.3	        0	0.000306316	0.000306316	        0
3.4	        0	0.000315598	0.000315598	        0
3.5	        0	0.000324881	0.000324881	        0
3.6	        0	0.000334163	0.000334163	        0
3.7	        0	0.000343445	0.000343445	        0
3.8	        0	0.000352728	0.000352728	        0
3.9	        0	0.00036201	0.00036201	        0
4	        0	0.000371292	0.000371292	        0
4.1	        0	0.000380575	0.000380575	        0
4.2	        0	0.000389857	0.000389857	        0
4.3	        0	0.000399139	0.000399139	        0
4.4	        0	0.000408422	0.000408422	        0
4.5	        0	0.000417704	0.000417704	        0
4.6	        0	0.000426986	0.000426986	        0
4.7	        0	0.000436268	0.000436268	        0
4.8	        0	0.000445551	0.000445551	        0
4.9	        0	0.000454833	0.000454833	        0
5	        0	0.000464115	0.000464115	        0
5.1	        0	0.000473398	0.000473398	        0
5.2	        0	0.00048268	0.00048268	        0
5.3	        0	0.000491962	0.000491962	        0
5.4	        0	0.000501245	0.000501245	        0
5.5	        0	0.000510527	0.000510527	        0
5.6	        0	0.000519809	0.000519809	        0
5.7	        0	0.000529092	0.000529092	        0
5.8	        0	0.000538374	0.000538374	        0
5.9	        0	0.000547656	0.000547656	        0
6	        0	0.000556938	0.000556938	        0
6.1	        0	0.000566221	0.000566221	        0
6.2	        0	0.000575503	0.000575503	        0
6.3	        0	0.000584785	0.000584785	        0
6.4	        0	0.000594068	0.000594068	        0
6.5	        0	0.00060335	0.00060335	        0
6.6	        0	0.000612632	0.000612632	        0
6.7	        0	0.000621915	0.000621915	        0
6.8	        0	0.000631197	0.000631197	        0
6.9	        0	0.000640479	0.000640479	        0
7	        0	0.000649762	0.000649762	        0
7.1	        0	0.000659044	0.000659044	        0
7.2	        0	0.000668326	0.000668326	        0
7.3	        0	0.000677608	0.000677608	        0
7.4	        0	0.000686891	0.000686891	        0
7.5	        0	0.000696173	0.000696173	        0
7.6	        0	0.000705455	0.000705455	        0
7.7	        0	0.000714738	0.000714738	        0
7.8	        0	0.00072402	0.00072402	        0
7.9	        0	0.000733302	0.000733302	        0
8	        0	0.000742585	0.000742585	        0
8.1	        0	0.000751867	0.000751867	        0
8.2	        0	0.000761149	0.000761149	        0
8.3	        0	0.000770432	0.000770432	        0
8.4	        0	0.000779714	0.000779714	        0
8.5	        0	0.000788996	0.000788996	        0
8.6	        0	0.000798278	0.000798278	        0
8.7	        0	0.000807561	0.000807561	        0
8.8	        0	0.000816843	0.000816843	        0
8.9	        0	0.000826125	0.000826125	        0
9	        0	0.000835408	0.000835408	        0
9.1	        0	0.00084469	0.00084469	        0
9.2	        0	0.000853972	0.000853972	        0
9.3	        0	0.000863255	0.000863255	        0
9.4	        0	0.000872537	0.000872537	        0
9.5	        0	0.000881819	0.000881819	        0
9.6	        0	0.000891102	0.000891102	        0
9.7	        0	0.000900384	0.000900384	        0
9.8	        0	0.000909666	0.000909666	        0
9.9	        0	0.000918948	0.000918948	        0
10	        0	0.000928231	0.000928231	        0
10.1	        0	0.000937513	0.000937513	        0
10.2	        0	0.000946795	0.000946795	        0
10.3	        0	0.000956078	0.000956078	        0
10.4	        0	0.00096536	0.00096536	        0
10.5	        0	0.000974642	0.000974642	        0
10.6	        0	0.000983925	0.000983925	        0
10.7	        0	0.000993207	0.000993207	        0
10.8	        0	0.00100249	0.00100249	        0
10.9	        0	0.00101177	0.00101177	        0
11	        0	0.00102105	0.00102105	        0
11.1	        0	0.00103034	0.00103034	        0
11.2	        0	0.00103962	0.00103962	        0
11.3	        0	0.0010489	0.0010489	        0
11.4	        0	0.00105818	0.00105818	        0
11.5	        0	0.00106747	0.00106747	        0
11.6	        0	0.00107675	0.00107675	        0
11.7	        0	0.00108603	0.00108603	        0
11.8	        0	0.00109531	0.00109531	        0
11.9	        0	0.00110459	0.00110459	        0
12	        0	0.00111388	0.00111388	        0
12.1	        0	0.00112316	0.00112316	        0
12.2	        0	0.00113244	0.00113244	        0
12.3	        0	0.00114172	0.00114172	        0
12.4	        0	0.00115101	0.00115101	        0
12.5	        0	0.00116029	0.00116029	        0
12.6	        0	0.00116957	0.00116957	        0
12.7	        0	0.00117885	0.00117885	        0
12.8	        0	0.00118814	0.00118814	        0
12.9	        0	0.00119742	0.00119742	        0
13	        0	0.0012067	0.0012067	        0
13.1	        0	0.00121598	0.00121598	        0
13.2	        0	0.00122526	0.00122526	        0
13.3	        0	0.00123455	0.00123455	        0
13.4	        0	0.00124383	0.00124383	        0
13.5	        0	0.00125311	0.00125311	        0
13.6	        0	0.00126239	0.00126239	        0
13.7	        0	0.00127168	0.00127168	        0
13.8	        0	0.00128096	0.00128096	        0
13.9	        0	0.00129024	0.00129024	        0
14	        0	0.00129952	0.00129952	        0
14.1	        0	0.00130881	0.00130881	        0
14.2	        0	0.00131809	0.00131809	        0
14.3	        0	0.00132737	0.00132737	        0
14.4	        0	0.00133665	0.00133665	        0
14.5	        0	0.00134593	0.00134593	        0
14.6	        0	0.00135522	0.00135522	        0
14.7	        0	0.0013645	0.0013645	        0
14.8	        0	0.00137378	0.00137378	        0
14.9	        0	0.00138306	0.00138306	        0
15	        0	0.00139235	0.00139235	        0
15.1	        0	0.00140163	0.00140163	        0
15.2	        0	0.00141091	0.00141091	        0
15.3	        0	0.00142019	0.00142019	        0
15.4	        0	0.00142948	0.00142948	        0
15.5	        0	0.00143876	0.00143876	        0
15.6	        0	0.00144804	0.00144804	        0
15.7	        0	0.00145732	0.00145732	        0
15.8	        0	0.0014666	0.0014666	        0
15.9	        0	0.00147589	0.00147589	        0
16	        0	0.00148517	0.00148517	        0
16.1	        0	0.00149445	0.00149445	        0
16.2	        0	0.00150373	0.00150373	        0
16.3	        0	0.00151302	0.00151302	        0
16.4	        0	0.0015223	0.0015223	        0
16.5	        0	0.00153158	0.00153158	        0
16.6	        0	0.00154086	0.00154086	        0
16.7	        0	0.00155015	0.00155015	        0
16.8	        0	0.00155943	0.00155943	        0
16.9	        0	0.00156871	0.00156871	        0
17	        0	0.00157799	0.00157799	        0
17.1	        0	0.00158727	0.00158727	        0
17.2	        0	0.00159656	0.00159656	        0
17.3	        0	0.00160584	0.00160584	        0
17.4	        0	0.00161512	0.00161512	        0
17.5	        0	0.0016244	0.0016244	        0
17.6	        0	0.00163369	0.00163369	        0
17.7	        0	0.00164297	0.00164297	        0
17.8	        0	0.00165225	0.00165225	        0
17.9	        0	0.00166153	0.00166153	        0
18	        0	0.00167082	0.00167082	        0
18.1	        0	0.0016801	0.0016801	        0
18.2	        0	0.00168938	0.00168938	        0
18.3	        0	0.00169866	0.00169866	        0
18.4	        0	0.00170794	0.00170794	        0
18.5	        0	0.00171723	0.00171723	        0
18.6	        0	0.00172651	0.00172651	        0
18.7	        0	0.00173579	0.00173579	        0
18.8	        0	0.00174507	0.00174507	        0
18.9	        0	0.00175436	0.00175436	        0
19	        0	0.00176364	0.00176364	        0
19.1	        0	0.00177292	0.00177292	        0
19.2	        0	0.0017822	0.0017822	        0
19.3	        0	0.00179149	0.00179149	        0
19.4	        0	0.00180077	0.00180077	        0
19.5	        0	0.00181005	0.00181005	        0
19.6	        0	0.00181933	0.00181933	        0
19.7	        0	0.00182861	0.00182861	        0
19.8	        0	0.0018379	0.0018379	        0
19.9	        0	0.00184718	0.00184718	        0
20	        0	0.00185646	0.00185646	        0
20.1	        0	0.00186574	0.00186574	        0
20.2	        0	0.00187503	0.00187503	        0
20.3	        0	0.00188431	0.00188431	        0
20.4	        0	0.00189359	0.00189359	        0
20.5	        0	0.00190287	0.00190287	        0
20.6	        0	0.00191216	0.00191216	        0
20.7	        0	0.00192144	0.00192144	        0
20.8	        0	0.00193072	0.00193072	        0
20.9	        0	  0.00194	  0.00194	        0
21	        0	0.00194928	0.00194928	        0
21.1	        0	0.00195857	0.00195857	        0
21.2	        0	0.00196785	0.00196785	        0
21.3	        0	0.00197713	0.00197713	        0
21.4	        0	0.00198641	0.00198641	        0
21.5	        0	0.0019957	0.0019957	        0
21.6	        0	0.00200498	0.00200498	        0
21.7	        0	0.00201426	0.00201426	        0
21.8	        0	0.00202354	0.00202354	        0
21.9	        0	0.00203283	0.00203283	        0
22	        0	0.00204211	0.00204211	        0
22.1	        0	0.00205139	0.00205139	        0
22.2	        0	0.00206067	0.00206067	        0
22.3	        0	0.00206995	0.00206995	        0
22.4	        0	0.00207924	0.00207924	        0
22.5	        0	0.00208852	0.00208852	        0
22.6	        0	0.0020978	0.0020978	        0
22.7	        0	0.00210708	0.00210708	        0
22.8	        0	0.00211637	0.00211637	        0
22.9	        0	0.00212565	0.00212565	        0
23	        0	0.00213493	0.00213493	        0
23.1	        0	0.00214421	0.00214421	        0
23.2	        0	0.0021535	0.0021535	        0
23.3	        0	0.00216278	0.00216278	        0
23.4	        0	0.00217206	0.00217206	        0
23.5	        0	0.00218134	0.00218134	        0
23.6	        0	0.00219062	0.00219062	        0
23.7	        0	0.00219991	0.00219991	        0
23.8	        0	0.00220919	0.00220919	        0
23.9	        0	0.00221847	0.00221847	        0
24	        0	0.00222775	0.00222775	        0
24.1	        0	0.00223704	0.00223704	        0
24.2	        0	0.00224632	0.00224632	        0
24.3	        0	0.0022556	0.0022556	        0
24.4	        0	0.00226488	0.00226488	        0
24.5	        0	0.00227417	0.00227417	        0
24.6	        0	0.00228345	0.00228345	        0
24.7	        0	0.00229273	0.00229273	        0
24.8	        0	0.00230201	0.00230201	        0
24.9	        0	0.00231129	0.00231129	        0
25	        0	0.00232058	0.00232058	        0
25.1	        0	0.00232986	0.00232986	        0
25.2	        0	0.00233914	0.00233914	        0
25.3	        0	0.00234842	0.00234842	        0
25.4	        0	0.00235771	0.00235771	        0
25.5	        0	0.00236699	0.00236699	        0
